,yelpid,name,lat,lng,distance miles,distance meters,price rating,price value,review count,review rating,type,sub type,address1,city,state,zip,reviewid,compound,positive,negative,neutral,review text,timestamp,reviewer name,reviewer id
0,Ut9709JWjLlx9CYyTjYYKg,Thai Style,33.6409916584226,-117.855753420789,0.66,1062,$$,2,4,4.5,Thai,Food Stands,5171 California Ave,Irvine,CA,92617,iP-ARrjqnobZSf34oQFJpg,0.7506,0.268,0.064,0.669,"Good weekly Thai food @our Farmer's Market on Thursday's.

Ingredients are fresh and the staff is friendly. The only downside is the wait time...

I...",2017-07-27 12:21:45,Randy W.,-2CainXEr63oltxnExHGgg
1,Ut9709JWjLlx9CYyTjYYKg,Thai Style,33.6409916584226,-117.855753420789,0.66,1062,$$,2,4,4.5,Thai,Food Stands,5171 California Ave,Irvine,CA,92617,_odtz8ELynWfQXTdT1oc3Q,0.6542,0.16,0.0,0.84,"I agree with other yelpers saying the wait can be long. We came to order around 11:35, and didn't get our food till 12ish. It's not bad really, it's just if...",2018-03-01 15:43:14,An L.,Nl7_kl_3QbEexPFud0xobg
2,Ut9709JWjLlx9CYyTjYYKg,Thai Style,33.6409916584226,-117.855753420789,0.66,1062,$$,2,4,4.5,Thai,Food Stands,5171 California Ave,Irvine,CA,92617,l1zsiDmhiz45pqsouMDTkg,0.7712,0.233,0.0,0.767,Legit ! I wish they had a restaurant because I would be a regular.  The food is delicious.  It's a very small mom and pop operation which sets up a small...,2018-03-20 16:15:59,Michael D.,7ymjgHryA31FIrKsm9KyXA
3,z6ZyXlSfhftN-h7FfAJo6Q,Asian Box,33.6488063941744,-117.8320658952,0.91,1461,$,1,286,4.0,Asian Fusion,Vegan,4503 Campus Dr,Irvine,CA,92612,UHOrEpFnxx0KahPE1_7eEg,-0.2331,0.14,0.168,0.692,"I regret taking so long, before giving this place a chance. 
I can't find anything to complain about at all!

This place is the place to go if you're a...",2018-09-04 02:32:01,Jay T.,akCFGWeFBplM1gAPn9WVuA
4,z6ZyXlSfhftN-h7FfAJo6Q,Asian Box,33.6488063941744,-117.8320658952,0.91,1461,$,1,286,4.0,Asian Fusion,Vegan,4503 Campus Dr,Irvine,CA,92612,TOfx4JYJFOwR6C_GAMHIaw,0.6249,0.151,0.0,0.849,Went here today with a co-worker who has Celiac.  This is a great place for people who are on a gluten-free diet.  Everything on their menu is...,2018-08-30 17:53:35,R K.,68SZpGCrih_qGxH_VO6Afw
5,z6ZyXlSfhftN-h7FfAJo6Q,Asian Box,33.6488063941744,-117.8320658952,0.91,1461,$,1,286,4.0,Asian Fusion,Vegan,4503 Campus Dr,Irvine,CA,92612,LjjJIWbfvZ_U8a5ds4Q7kQ,0.128,0.143,0.16,0.697,"This restaurant's concept is great and we need more of this ""chipotle-style"" Asian food offerings.  But this eatery unfortunately missed the mark for...",2018-08-04 13:28:30,Jamie K.,_XVYEiZ9-yTccatE5nDGCQ
6,lzx8_1F8TqC9y8L3ElRifg,Hen House Grill,33.6493026913943,-117.832296946294,0.92,1480,$$,2,748,4.0,Persian/Iranian,Mediterranean,4515 Campus Dr,Irvine,CA,92612,l494ULP1iVNdHqfmybB1qQ,0.0,0.0,0.0,1.0,"I have been a customer at Hen House Grill since 2014, back in the day when they were located on Culver. The management has not changed, and they still...",2018-07-26 20:38:13,Henry L.,YoDrEM2wQmsALuc2IovqXQ
7,lzx8_1F8TqC9y8L3ElRifg,Hen House Grill,33.6493026913943,-117.832296946294,0.92,1480,$$,2,748,4.0,Persian/Iranian,Mediterranean,4515 Campus Dr,Irvine,CA,92612,2M_Bd_nxOJ1J0vFsjW9FEw,0.5719,0.134,0.0,0.866,"First time here

After watching Shahs of Sunset, when they were celebrating Persian New Year, I was so hungry for Mediterranean food.  

Hen House has been...",2018-09-14 12:40:13,Mira Y.,Hl0GFs8WRy7dFx89s_hi3g
8,lzx8_1F8TqC9y8L3ElRifg,Hen House Grill,33.6493026913943,-117.832296946294,0.92,1480,$$,2,748,4.0,Persian/Iranian,Mediterranean,4515 Campus Dr,Irvine,CA,92612,Fxsp-mcnFhPZN4oXoAFGbg,0.6534,0.283,0.134,0.583,"WORST HUMMUS I'VE EVER HAD!!!

With that said, everything else was pretty good. Service was quick and friendly. The food was a really large portion. Cant...",2018-09-08 14:15:58,Trish P.,6eaY6cXabv63JSY52bq5Qg
9,TJljvcQrbgaHyrWRTJDSJA,Slapfish,33.64981,-117.83878,0.72,1166,$$,2,630,4.0,Seafood,Fish & Chips,4249 Campus Dr,Irvine,CA,92612,S4YUqarOrAgmVomHxxsaDA,0.8945,0.338,0.0,0.662,"Slapfish has really delicious food. You can't go wrong with any of their menu choices. The entrees are fresh, the sides are good, the sauces are flavorful....",2018-09-05 09:25:23,Zaina H.,JqEyA208ve_EkgDXXli6kw
10,TJljvcQrbgaHyrWRTJDSJA,Slapfish,33.64981,-117.83878,0.72,1166,$$,2,630,4.0,Seafood,Fish & Chips,4249 Campus Dr,Irvine,CA,92612,x5CPgsXrIRbVXeRRku46sw,-0.2755,0.0,0.075,0.925,"This review is ONLY for their famous Lobster Breakfast Burrito.

It is nothing at all like the advertised video of the burrito. Nothing.

Eggs were dry and...",2018-09-06 12:48:45,Stevey R.,TO8tfo5XWZdA5QnMFhlHzw
11,TJljvcQrbgaHyrWRTJDSJA,Slapfish,33.64981,-117.83878,0.72,1166,$$,2,630,4.0,Seafood,Fish & Chips,4249 Campus Dr,Irvine,CA,92612,5sLN-7RumIiKaEj-g6M3MA,0.0,0.0,0.0,1.0,"Craving lobster roll on a random week day night. Decided to be fancy and ordered to-go on Yelp. When I went to go pick up the food, the worker standing in...",2018-09-02 21:21:51,Pauline T.,tvSPQmR5bhvVKm9RJnpkag
12,RcWSCtCaDcn9FPZwM0AQrg,Spoleto,33.651059,-117.839014,0.79,1272,$$,2,281,4.0,Italian,Salad,4175 Campus Dr,Irvine,CA,92612,3fBeJsUjNvgEaUsZfO6pRA,0.0,0.0,0.0,1.0,We ordered through door dash so this review is strictly on that experience. We bought so much food for lunch but we ended up not getting full. The portions...,2018-09-19 16:10:42,Neda O.,FZHhcv2OxrobmGvmmwMV4Q
13,RcWSCtCaDcn9FPZwM0AQrg,Spoleto,33.651059,-117.839014,0.79,1272,$$,2,281,4.0,Italian,Salad,4175 Campus Dr,Irvine,CA,92612,T93nBUGu3To8Jf4kQq_FhQ,0.8271,0.216,0.0,0.784,"I would give this one star, but the second star is for the hope that this place could be better.

I've eaten here four or five times before and have tried...",2018-09-11 10:58:00,Nathan G.,d2F_jrGXFOtWL8cjthNS7A
14,RcWSCtCaDcn9FPZwM0AQrg,Spoleto,33.651059,-117.839014,0.79,1272,$$,2,281,4.0,Italian,Salad,4175 Campus Dr,Irvine,CA,92612,-TlPjlQkCfCzYftUPnqqsQ,0.9311,0.422,0.0,0.578,Came here yesterday and loved it! Great first impression because the interior of the restaurant & menu are both aesthetically pleasing! Counters were clean...,2018-09-08 14:23:42,Trish P.,6eaY6cXabv63JSY52bq5Qg
15,pm1SGfjnSDIDw-1W1XbCSQ,Eureka!,33.6505630345333,-117.839237451553,0.75,1213,$$,2,800,3.5,American (New),Bars,4143 Campus Dr,Irvine,CA,92612,QNzTyFUjpzcbLSfrH0X6_Q,0.7783,0.228,0.0,0.772,My friends and I come here for happy hour sometimes either before or after our dance practice. We frequent this place because 1) its a convenient location...,2018-09-19 12:12:26,Marlo Y.,Lfu-1_n4KqIpbZmp5t4egw
16,pm1SGfjnSDIDw-1W1XbCSQ,Eureka!,33.6505630345333,-117.839237451553,0.75,1213,$$,2,800,3.5,American (New),Bars,4143 Campus Dr,Irvine,CA,92612,iq4fCe2x4IhqzsydEbMU7Q,0.8685,0.29,0.0,0.71,"I absolutely Love Eureka!
Where do I begin?

1. Greeted by welcoming hostess.
2. We sat at the bar and even though it was busy we were acknowledged within...",2018-08-26 16:44:51,Neela S.,GRAbSjFXp8NgApO-DcM7ug
17,pm1SGfjnSDIDw-1W1XbCSQ,Eureka!,33.6505630345333,-117.839237451553,0.75,1213,$$,2,800,3.5,American (New),Bars,4143 Campus Dr,Irvine,CA,92612,oqjHMWoi4PtpJb64W6nAoQ,0.3716,0.093,0.0,0.907,Eureka is a great place for a fancier dining experience near the UCI campus. The food is a tiny bit pricey (especially for college students) but it's one of...,2018-08-15 23:46:43,Gracie W.,HrsOUf77EUu3aydEo_OVmw
18,jTyfj3e8PIkc4KTVh3sAqw,Mendocino Farms,33.650802,-117.839104,0.77,1242,$$,2,479,4.0,Sandwiches,Salad,4187 Campus Dr,Irvine,CA,92612,LHMQUm2uHJPaByk7JzzLdw,0.0,0.111,0.141,0.749,"Picked this up for lunch today and got way too much food for one person... *shrug* no regrets 

- Tofu Banh Mi: delicious spicy red creamy sauce with crispy...",2018-08-23 17:35:42,Kj J.,KQZLmfG9vueQ-wVRB9sR_Q
19,jTyfj3e8PIkc4KTVh3sAqw,Mendocino Farms,33.650802,-117.839104,0.77,1242,$$,2,479,4.0,Sandwiches,Salad,4187 Campus Dr,Irvine,CA,92612,Rfo1mJEiWo42ZNP8ga2rRg,0.8604,0.357,0.0,0.643,Went to Mendocino Farms for the first time yesterday.  Was pleasantly surprised with the food.  Menu has quite a few healthy but delicious sounding...,2018-09-10 12:21:07,Phil L.,I-Cl6qHc6O6v-cohHKPdkg
20,jTyfj3e8PIkc4KTVh3sAqw,Mendocino Farms,33.650802,-117.839104,0.77,1242,$$,2,479,4.0,Sandwiches,Salad,4187 Campus Dr,Irvine,CA,92612,NUw9gIFUI1M4Kv3CITJzSQ,0.7345,0.187,0.0,0.813,"I wish I could give this place 6 stars!

We went to UTC for lunch and couldn't decide where to eat. My friend decided to go here. I never been here so I...",2018-08-09 22:12:31,Julie V.,S0sLuv9nad0w2_HZc5EOYA
21,jhA6AtQuXJT_dJPb7QGGxQ,Anthill Pub & Grille,33.648875001478,-117.842283696117,0.59,950,$,1,380,4.0,Bars,American (Traditional),4200 Campus Dr,Irvine,CA,92697,TBo4GjfXD_qNbZG07LCO_A,0.4767,0.107,0.0,0.893,This place had a change in management last summer. I came in during that summer before the change and also in March to meet some friends who still attended...,2018-06-18 19:35:36,Adrian S.,MW-hSvcJ3tpZrzx6X8RB0g
22,jhA6AtQuXJT_dJPb7QGGxQ,Anthill Pub & Grille,33.648875001478,-117.842283696117,0.59,950,$,1,380,4.0,Bars,American (Traditional),4200 Campus Dr,Irvine,CA,92697,6Ok5i8Ucs_VDm8G8VqNdPA,-0.5204,0.062,0.144,0.794,Whaaaaaat is this place?? It's kids playing at being a bar. Service was horrendous. Came with a coworker after work- only 1 other person seated at the bar...,2018-06-05 19:59:26,Kristin M.,DK7AgGrYS6P2BmK-WVUZiw
23,jhA6AtQuXJT_dJPb7QGGxQ,Anthill Pub & Grille,33.648875001478,-117.842283696117,0.59,950,$,1,380,4.0,Bars,American (Traditional),4200 Campus Dr,Irvine,CA,92697,pT5CA4mD2bn7MvIHZzZIZg,0.8074,0.253,0.061,0.686,"Came here with a friend to celebrate Cinco de Mayo and was shocked to find us as one of the only people there (I guess nobody wants to party on campus,...",2018-05-22 00:36:01,Eric B.,ZcwLnR_VGfgLmuJ_7tnAjQ
24,QzJxZ67PVrqy6Z_5gKfxyw,Le Diplomate Cafe,33.6491405,-117.8392785,0.75,1210,$,1,1714,4.5,Bakeries,Sandwiches,4237 Campus Dr,Irvine,CA,92612,9PLOTXuAEesEPasrp4IE-Q,0.0,0.0,0.0,1.0,"Food: 5/5
Service: 5/5

Cozy little cafe spot located inside of a large plaza (the same one as Mendocino Farms, Cha for Tea, etc.) I got their popular...",2018-09-24 01:27:11,Erica J.,qOCLi6nFbVRWmi8UU7Y3nQ
25,QzJxZ67PVrqy6Z_5gKfxyw,Le Diplomate Cafe,33.6491405,-117.8392785,0.75,1210,$,1,1714,4.5,Bakeries,Sandwiches,4237 Campus Dr,Irvine,CA,92612,CEVFhf2fqRamU_5BkM3zCQ,0.6369,0.178,0.0,0.822,"This place has been around forever and it's still just as good as I remember. It's fresh, tasty, and very reasonably priced. My go-to sandwich is the...",2018-09-16 16:45:25,Alice L.,hGFGvI-jVxNB2xwZY6KrjQ
26,QzJxZ67PVrqy6Z_5gKfxyw,Le Diplomate Cafe,33.6491405,-117.8392785,0.75,1210,$,1,1714,4.5,Bakeries,Sandwiches,4237 Campus Dr,Irvine,CA,92612,bybOwkX6NWNNqvLrO_-O2A,0.7269,0.21,0.0,0.79,"Food: 4/5
Service: 4/5
Cleanliness: 4/5
Decor & Style: 3/5

Pretty good sandwich overall. The sauce is a little different than what i'm used to (a little...",2018-08-21 15:53:29,Nick N.,-gN7r8iOBKGeh4LJkn2QeQ
27,qRkAHPVSKEYykpNjb-URAw,DelSushi,33.649876,-117.838854,0.72,1158,$$,2,319,4.0,Japanese,Sushi Bars,4249 Campus Dr,Irvine,CA,92612,XP2Xjoeip0s1Q69TKAwyGA,0.4576,0.107,0.0,0.893,"This is a very special place.
Food: Always tasty as hecc. As many fellow yelpers and possible anteaters have mentioned, the prices are a bit on the high...",2018-09-10 00:21:57,Veh A.,LMLjV13a2ykojqRM2LzhlA
28,qRkAHPVSKEYykpNjb-URAw,DelSushi,33.649876,-117.838854,0.72,1158,$$,2,319,4.0,Japanese,Sushi Bars,4249 Campus Dr,Irvine,CA,92612,sNbBlH18kpNBiUphaYUOhg,-0.3818,0.0,0.091,0.909,"This place is decent if you're car less and need sushi desperately. It's a take out style place, even if you're going to eat your sushi outside. I ordered...",2018-09-21 08:18:31,Robyn L.,pUWdeWmnBx-QgmcBrtlylw
29,qRkAHPVSKEYykpNjb-URAw,DelSushi,33.649876,-117.838854,0.72,1158,$$,2,319,4.0,Japanese,Sushi Bars,4249 Campus Dr,Irvine,CA,92612,SOpnhSfU1_urfXP4yhxmDA,0.0,0.0,0.0,1.0,"This place is clutch for UCI students if you're looking for a sushi fix. I've been coming here for four years to give into my cravings. 

The place caters...",2018-07-15 12:28:53,John Q.,y8MOxT4GSxCGtXhjwwpJkQ
30,-GPER_vHaN2DV2qyr9gF5w,Yushoken Izakaya & Ramen,33.6508376,-117.838792,0.78,1257,$,1,269,3.0,Ramen,Soup,4187 Campus Dr,Irvine,CA,92612,inmxfGKhTCHV64FoinqkZw,0.8254,0.235,0.0,0.765,"This place was great, however heavily pork-focused. It was only my second time eating ramen, but the spicy ramen was so good. There aren't a lot of options...",2018-07-27 17:38:52,Ronjini M.,RdtD_EaJolktp6qgHjx24g
31,-GPER_vHaN2DV2qyr9gF5w,Yushoken Izakaya & Ramen,33.6508376,-117.838792,0.78,1257,$,1,269,3.0,Ramen,Soup,4187 Campus Dr,Irvine,CA,92612,_Ii23MWYoCz4sPP_-tfd7A,0.5994,0.135,0.0,0.865,"This is a super convenient ramen joint for UCI students. It's located at the UTC which receives a lot of student traffic - thus, it tends to get crowded...",2018-07-17 11:05:29,Thanh P.,FxbhET2UGl0AMRjgxiw8-Q
32,-GPER_vHaN2DV2qyr9gF5w,Yushoken Izakaya & Ramen,33.6508376,-117.838792,0.78,1257,$,1,269,3.0,Ramen,Soup,4187 Campus Dr,Irvine,CA,92612,Bfmz3Rh97Lnb9WGVSqzS0Q,0.6908,0.199,0.0,0.801,"Yushoken is a fairly decent place at UTC. As a college student, it was nice to have a sit-down meal with good service within walking distance. They kept...",2018-06-28 01:17:50,Aira Camille S.,ogFUn8dckBGIsknJ7jsAKg
33,I5hqwi5SRlFmdam78sa2HA,Taco Rosa,33.6270307089144,-117.84911439682,0.97,1562,$$,2,439,3.5,Mexican,Beer Bar,2632 San Miguel Dr,Newport Beach,CA,92660,mpjY5dKRDhcCal-m_4e46Q,0.8588,0.288,0.0,0.712,"Day of service August 20, 2018 

Time of service: Approx. 5-7pm

Food: Random mouthgasm. Go. Everything was great!

Service: Great

Prices: Very Affordable...",2018-08-23 22:35:23,B M.,4woAgXjancn1dWfVy30FuA
34,I5hqwi5SRlFmdam78sa2HA,Taco Rosa,33.6270307089144,-117.84911439682,0.97,1562,$$,2,439,3.5,Mexican,Beer Bar,2632 San Miguel Dr,Newport Beach,CA,92660,KV5qMUHLr1NAT0LD6myoFQ,0.658,0.154,0.0,0.846,"Fancy tacos with blow-torched cheese? Sign me up!

The tacos Al felite were amazing! Green tortillas with pieces of steak and brie cheese-complete with the...",2018-07-23 01:41:09,Gracie W.,HrsOUf77EUu3aydEo_OVmw
35,I5hqwi5SRlFmdam78sa2HA,Taco Rosa,33.6270307089144,-117.84911439682,0.97,1562,$$,2,439,3.5,Mexican,Beer Bar,2632 San Miguel Dr,Newport Beach,CA,92660,_C2e6VhuoyO9LLBVMCIAnA,0.7992,0.27,0.0,0.73,"Was here for brunch on a Sunday. Not overly excited about this place. 

The interior was all Mexican restaurant. Not good, not bad. There was seating...",2018-06-29 15:19:47,Lance H.,hZx9whdbiAXjA1RMRw-AkQ
36,tKKPXIpijBNRqHz90UX5JA,Temakira,33.650505784803,-117.83821663542,0.78,1247,$,1,94,3.5,Sushi Bars,Japanese,4237 Campus Dr,Irvine,CA,92612,9tjZYqkqNpQ2U_LjYgqU4A,0.7346,0.212,0.0,0.788,I really like Temakira. It's consistent and they always have yummy food. I would give it five stars if the food wasn't so mediocre and predictable. I know...,2018-05-31 23:01:13,Clara Y.,HAF0vSlCxG6aeJfzXEeyZw
37,tKKPXIpijBNRqHz90UX5JA,Temakira,33.650505784803,-117.83821663542,0.78,1247,$,1,94,3.5,Sushi Bars,Japanese,4237 Campus Dr,Irvine,CA,92612,Zf9kH5f02Oa6-D_JfQHskw,0.9151,0.379,0.0,0.621,"I had such high hopes for you, Temakira! I walked in - bright-eyed and bushy-tailed, hoping to eat some delicious hand rolls (temaki). The three of us each...",2018-07-05 19:13:15,Sara C.,0_F9CqmQr80sH2o0rZCHFw
38,tKKPXIpijBNRqHz90UX5JA,Temakira,33.650505784803,-117.83821663542,0.78,1247,$,1,94,3.5,Sushi Bars,Japanese,4237 Campus Dr,Irvine,CA,92612,tWR4x2-MtyCq1GyUdDaRxQ,0.6705,0.193,0.0,0.807,"I was curious about this place so I decided to check it out with a friend the other day. 

MENU OPTIONS: They have a decently size menu. I was a bit...",2018-05-25 10:02:13,Sarah L.,qJuYWau-vJNRH_TVBJv6cQ
39,saKl29canx_KLrDf1YmBTA,Blaze Fast-Fire'd Pizza,33.649757115819,-117.839082472835,0.71,1137,$,1,923,4.0,Pizza,Salad,4255 Campus Dr,Irvine,CA,92612,uWQFuSUSCYfzivTONNFr9Q,0.7269,0.232,0.088,0.68,"Love this place. I've avoided it for so long for some strange reason but nownim.a fan. Whenever I am near one I go in and go create my pizza.

Pizza made...",2018-08-10 11:03:48,Allen C.,YKsgckzm4qBXtAiYCzN7Ug
40,saKl29canx_KLrDf1YmBTA,Blaze Fast-Fire'd Pizza,33.649757115819,-117.839082472835,0.71,1137,$,1,923,4.0,Pizza,Salad,4255 Campus Dr,Irvine,CA,92612,1OfOPSpAvHiG8Nt91DUuFQ,0.274,0.162,0.083,0.755,"While my pizza looked delicious and tasted even better, the service today was absolutely terrible. I know Blaze boasts ""fast-fired,"" but after it was...",2018-07-15 19:44:14,Tiffany N.,UmXkgNP5srKB4kD1_rLAcw
41,saKl29canx_KLrDf1YmBTA,Blaze Fast-Fire'd Pizza,33.649757115819,-117.839082472835,0.71,1137,$,1,923,4.0,Pizza,Salad,4255 Campus Dr,Irvine,CA,92612,PQhwyU-yMD_-AgNZK9T7Fg,0.8807,0.505,0.0,0.495,"Good place 

Good pizza 

Good people 


Thxx a lot for the Coke's 


Thank you blaze ..",2018-07-06 02:40:58,Faisal A.,s0WAULm8nRA_DvKe1j-rlg
42,rvQ1dbL0UOKmcQyMEgvO0g,California Gogi Grill,33.6504850618367,-117.838828038363,0.76,1220,$,1,468,3.0,Korean,n/a,4237 Campus Dr,Irvine,CA,92612,TW9BSNVvIWecJ10EncYqTQ,-0.3591,0.113,0.162,0.726,"I just want to say to all you punk kids complaining about meat portions, you've never worked food service before. Don't complain about the poor minimum wage...",2018-07-09 22:01:13,Jessica N.,GR5zk5ur7YvMWb2HH9YYCg
43,rvQ1dbL0UOKmcQyMEgvO0g,California Gogi Grill,33.6504850618367,-117.838828038363,0.76,1220,$,1,468,3.0,Korean,n/a,4237 Campus Dr,Irvine,CA,92612,U2UsZYkaHWf3fBHh8AiZpQ,-0.296,0.066,0.107,0.828,"I'm surprised that CGG has such high reviews. I was disappointed in my stacked bowl and didn't finish it all. I chose Korean Fried Chicken and Bulgogi, and...",2018-07-19 11:23:01,Evelyn T.,x1FY-UEpDW03M38xt8QFsQ
44,rvQ1dbL0UOKmcQyMEgvO0g,California Gogi Grill,33.6504850618367,-117.838828038363,0.76,1220,$,1,468,3.0,Korean,n/a,4237 Campus Dr,Irvine,CA,92612,ozZ-d6_AoighlbriM719Iw,0.8555,0.281,0.0,0.719,"The two stars is for the food, which is pretty good, generous portions and filling. The concept of fast Korean food has potential. However of the 2 times...",2018-07-16 15:40:57,Ingrid A.,yrlt2ZdNR9oad1ALxrOJuA
45,8bYPc0rN7XEJtyGoN-I6Lg,Chick-fil-A,33.649645,-117.839674,0.69,1103,$,1,146,3.5,Fast Food,n/a,4127 Campus Dr,Irvine,CA,92612,hKwNy06kCFnNn2D9MlK0jg,0.4854,0.153,0.0,0.847,"This is my 2nd home. 
Food: This is Chick-fil-A. Nuff said. Consistent quality and satisfaction.
Service: Kind lads but there is one employee that is...",2018-09-10 00:27:32,Veh A.,LMLjV13a2ykojqRM2LzhlA
